file,source_page,role,level,width_px,height_px,sha256,asset_url,downloaded_at
swe-intern-001-left.png,https://resumes.fyi/left,Software Engineer,Intern,1224,1584,022925bc569f7b34240129f79b3f1bfea3d1c0b9a8c954bc4a211a4a8eb428d2,https://q1hlr76qehnlfpdb.public.blob.vercel-storage.com/resumes/9ebf15db-d12d-4528-85cc-38d255ec7647/r.png,2026-07-18
swe-intern-002-yjyoo.webp,https://resumes.fyi/yjyoo,Software Engineer,Intern,1101,1425,2c615ff877b3772bed3156651e7f1b88227cc01d19990ea9daee2308152ce7b1,https://q1hlr76qehnlfpdb.public.blob.vercel-storage.com/resumes/ec0c179b-7b4d-4acc-a8ab-8d210d5a6a35/r.png,2026-07-18
swe-intern-003-asiangoat.png,https://resumes.fyi/asiangoat,Software Engineer,Intern,1224,1584,6f8cb6e731f86155c03fb9da2544f70806c00d256dafa9f8803df287efba3481,https://q1hlr76qehnlfpdb.public.blob.vercel-storage.com/resumes/120a4d05-313d-4b1b-a56d-ceb02db57745/r.png,2026-07-18
swe-intern-004-bradfordhderby.png,https://resumes.fyi/bradfordhderby,Software Engineer,Intern,1224,1584,e7cbf2a5997f7a377c667fa2a0c409371e6c274d5f49755c2c25777012efe079,https://q1hlr76qehnlfpdb.public.blob.vercel-storage.com/resumes/20d5bd97-60ba-4290-b64b-654fa3739e2a/r.png,2026-07-18
